method,h,max_abs_error
euler,0.02,0.21784352267587592
euler,0.01,0.06121563458115976
euler,0.005,0.023499419820624756
euler,0.0025,0.010366956855353146
euler,0.00125,0.004878017283970214
euler,0.000625,0.002367101634474615
euler,0.0003125,0.001166102122082631
heun,0.02,0.004868081239933002
heun,0.01,0.0012176054687148808
heun,0.005,0.0003041627808089897
heun,0.0025,7.598644453509721e-05
heun,0.00125,1.8987952919673548e-05
heun,0.000625,4.745881741819759e-06
heun,0.0003125,1.1863162326167243e-06
rk4,0.02,9.772365754653033e-06
rk4,0.01,6.096845067979709e-07
rk4,0.005,3.8017034078088874e-08
rk4,0.0025,2.373199905689183e-09
rk4,0.00125,1.482340673819582e-10
rk4,0.000625,9.261804864713064e-12
rk4,0.0003125,5.789708990011633e-13
